Institutions,Discipline,Web of Science Documents,Cites,Cites/Paper,Top Papers,Rank,Cluster
PUBLIC HEALTH FOUNDATION OF INDIA,merged_all,779.0,156185.0,200.49,130.0,1384,0
PUBLIC HEALTH FOUNDATION OF INDIA,CLINICAL MEDICINE,779.0,156185.0,200.49,130.0,547,0
UTRECHT UNIVERSITY MEDICAL CENTER,merged_all,2140.0,152211.0,71.13,90.0,1450,0
UTRECHT UNIVERSITY MEDICAL CENTER,MOLECULAR BIOLOGY & GENETICS,2140.0,152211.0,71.13,90.0,104,0
DAVID GEFFEN SCHOOL OF MEDICINE AT UCLA,MOLECULAR BIOLOGY & GENETICS,1967.0,151552.0,77.05,104.0,106,0
DAVID GEFFEN SCHOOL OF MEDICINE AT UCLA,merged_all,1967.0,151552.0,77.05,104.0,1461,0
HELMHOLTZ-CENTER MUNICH - GERMAN RESEARCH CENTER FOR ENVIRONMENTAL HEALTH,merged_all,1922.0,150572.0,78.34,100.0,1481,0
HELMHOLTZ-CENTER MUNICH - GERMAN RESEARCH CENTER FOR ENVIRONMENTAL HEALTH,MOLECULAR BIOLOGY & GENETICS,1922.0,150572.0,78.34,100.0,107,0
UNIVERSITY OF ZURICH,MOLECULAR BIOLOGY & GENETICS,2579.0,150097.0,58.2,80.0,108,0
UNIVERSITY OF ZURICH,merged_all,2579.0,150097.0,58.2,80.0,1485,0
CHARITE UNIVERSITATSMEDIZIN BERLIN,merged_all,2405.0,149072.0,61.98,99.0,1497,0
CHARITE UNIVERSITATSMEDIZIN BERLIN,MOLECULAR BIOLOGY & GENETICS,2405.0,149072.0,61.98,99.0,109,0
UNIVERSITY OF MASSACHUSETTS SYSTEM,MOLECULAR BIOLOGY & GENETICS,2534.0,148827.0,58.73,87.0,110,0
UNIVERSITY OF MASSACHUSETTS SYSTEM,merged_all,2534.0,148827.0,58.73,87.0,1501,0
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER HOUSTON,merged_all,2125.0,147220.0,69.28,83.0,1515,0
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER HOUSTON,MOLECULAR BIOLOGY & GENETICS,2125.0,147220.0,69.28,83.0,111,0
LEIDEN UNIVERSITY,MOLECULAR BIOLOGY & GENETICS,2399.0,146486.0,61.06,96.0,112,0
LEIDEN UNIVERSITY,merged_all,2399.0,146486.0,61.06,96.0,1527,0
UNIVERSITE PSL,MOLECULAR BIOLOGY & GENETICS,3012.0,144321.0,47.92,48.0,114,0
UNIVERSITE PSL,merged_all,3012.0,144321.0,47.92,48.0,1553,0
NORTHEASTERN UNIVERSITY,merged_all,1952.0,143098.0,73.31,103.0,1568,0
NORTHEASTERN UNIVERSITY,CLINICAL MEDICINE,1952.0,143098.0,73.31,103.0,580,0
UTAH SYSTEM OF HIGHER EDUCATION,merged_all,2521.0,143086.0,56.76,83.0,1570,0
UTAH SYSTEM OF HIGHER EDUCATION,MOLECULAR BIOLOGY & GENETICS,2521.0,143086.0,56.76,83.0,116,0
INSTITUTO NACIONAL DE SALUD PUBLICA,merged_all,1009.0,142446.0,141.18,105.0,1580,0
INSTITUTO NACIONAL DE SALUD PUBLICA,CLINICAL MEDICINE,1009.0,142446.0,141.18,105.0,585,0
CIBER - CENTRO DE INVESTIGACION BIOMEDICA EN RED,MOLECULAR BIOLOGY & GENETICS,3218.0,141800.0,44.06,81.0,117,0
CIBER - CENTRO DE INVESTIGACION BIOMEDICA EN RED,merged_all,3218.0,141800.0,44.06,81.0,1589,0
UK RESEARCH & INNOVATION (UKRI),merged_all,2584.0,141688.0,54.83,78.0,1594,0
UK RESEARCH & INNOVATION (UKRI),MOLECULAR BIOLOGY & GENETICS,2584.0,141688.0,54.83,78.0,118,0
UNIVERSITY OF WISCONSIN SYSTEM,merged_all,3116.0,141654.0,45.46,65.0,1596,0
UNIVERSITY OF WISCONSIN SYSTEM,MOLECULAR BIOLOGY & GENETICS,3116.0,141654.0,45.46,65.0,119,0
WELLCOME TRUST SANGER INSTITUTE,BIOLOGY & BIOCHEMISTRY,1066.0,141182.0,132.44,129.0,63,0
WELLCOME TRUST SANGER INSTITUTE,merged_all,1066.0,141182.0,132.44,129.0,1601,0
UNIVERSITY OF MINNESOTA TWIN CITIES,merged_all,2967.0,140605.0,47.39,83.0,1614,0
UNIVERSITY OF MINNESOTA TWIN CITIES,MOLECULAR BIOLOGY & GENETICS,2967.0,140605.0,47.39,83.0,120,0
UNIVERSITY OF AMSTERDAM,MOLECULAR BIOLOGY & GENETICS,2383.0,138858.0,58.27,89.0,121,0
UNIVERSITY OF AMSTERDAM,merged_all,2383.0,138858.0,58.27,89.0,1647,0
UNITED STATES DEPARTMENT OF ENERGY (DOE),MOLECULAR BIOLOGY & GENETICS,2070.0,138572.0,66.94,79.0,122,0
UNITED STATES DEPARTMENT OF ENERGY (DOE),merged_all,2070.0,138572.0,66.94,79.0,1656,0
PASTEUR NETWORK,MOLECULAR BIOLOGY & GENETICS,2607.0,137998.0,52.93,70.0,123,0
PASTEUR NETWORK,merged_all,2607.0,137998.0,52.93,70.0,1661,0
UNIVERSITY OF GOTTINGEN,merged_all,2762.0,137879.0,49.92,46.0,1666,0
UNIVERSITY OF GOTTINGEN,CHEMISTRY,2762.0,137879.0,49.92,46.0,126,0
UNIVERSITY OF IBADAN,merged_all,1825.0,137652.0,75.43,124.0,1668,0
UNIVERSITY OF IBADAN,CLINICAL MEDICINE,1825.0,137652.0,75.43,124.0,610,0
SWISS INSTITUTE OF BIOINFORMATICS,BIOLOGY & BIOCHEMISTRY,1137.0,137235.0,120.7,85.0,67,0
